1 11 54 57 7
1 42 39 6 6
1 12 18 99 19
1 4 66 76 15
2 0 95 69 0
1 22 56 34 17
1 18 27 66 22
1 6 98 53 9
1 10 85 34 10
1 43 74 99 4
1 4 2 53 20
1 46 60 6 22
1 25 80 90 4
1 0 19 35 16
1 6 84 68 13
2 13 20 9 23
3 22 25 88 17
1 39 63 84 6
1 48 21 19 25
1 1 92 15 23
1 20 36 9 13
2 20 63 97 20
1 34 6 89 0
1 36 3 55 2
1 40 46 15 14
1 49 95 96 15
1 34 8 47 1
1 7 44 36 19
1 29 55 68 10
1 29 44 82 26
3 18 16 83 11
2 44 57 58 14
2 25 90 5 16
1 45 84 19 7
1 7 18 33 14
1 5 78 6 17
1 40 45 61 3
1 43 29 10 10
1 17 71 65 13
2 20 6 87 28
2 18 4 97 0
1 5 41 84 3
2 37 1 77 27
1 33 95 74 17
1 25 68 47 2
1 31 41 3 18
3 45 40 87 9
1 25 42 89 9
2 22 22 91 11
1 35 81 22 8
1 6 19 94 1
2 19 76 40 11
2 26 28 1 8
2 34 41 58 25
2 38 37 36 0
2 24 40 77 20
2 30 46 49 3
2 1 72 22 19
2 19 59 35 15
2 12 57 77 23
2 48 46 23 27
2 40 38 0 2
4 35 14 30 12
1 22 37 5 18
3 33 84 21 0
2 9 51 12 17
2 6 85 41 29
2 30 21 11 23
2 17 84 4 28
1 46 62 68 7
2 48 40 15 29
1 14 43 43 23
2 48 99 58 6
2 47 48 95 10
2 38 84 80 21
2 4 45 29 4
3 17 3 28 17
3 27 32 87 4
3 2 7 67 1
2 48 55 56 15
3 47 34 8 17
2 2 23 6 2
2 39 48 74 13
1 7 71 73 2
2 26 34 33 18
2 24 6 45 22
3 36 74 63 5
3 26 60 86 16
3 43 52 15 29
3 20 62 46 7
3 10 46 38 24
4 36 67 52 13
4 14 76 65 17
4 3 54 69 29
4 13 94 76 3
2 1 13 19 23
3 10 84 5 27
5 16 17 89 25
1 22 99 19 26
3 0 79 44 6
2 24 20 87 9
1 8 9 30 14
3 9 40 13 16
3 33 58 98 3
1 15 75 18 24
4 27 10 84 6
3 36 59 35 12
5 23 66 45 2
4 36 44 7 19
4 14 78 32 15
2 41 67 45 24
1 3 86 88 4
5 43 99 60 1
3 37 46 78 0
4 27 14 72 20
1 39 83 7 26
5 34 64 63 17
3 48 12 27 20
3 40 68 27 1
3 20 73 33 11
2 5 75 56 2
